Txhash,ContractAddress,ContractName
0x0cdc993993e4de8673a73f44b2a8e35118989f9bd2dd32502c307862f20ba27b,0x05d70721c4f75473a07907c0d0c6eebed5f2fef7,AdminUpgradeabilityProxy
0xf6a46ecd431ec311d0eca079e9d2914ef69f01141748bd010fd7cc363b0a0f7f,0x2ae7b37ab144b5f8c803546b83e81ad297d8c2c4,TokenRewards
0x5efa55a907d65ed351099786fc47fc6f11655c5255524320d05aa12432a57af4,0xe1469af5d26ce64e404e4288d5546d7a41097715,StakingDextoken
0x582c875dcbd4aca5f6de04bdd825b99ac5296d194ff2100227949eb15b277561,0x97b00db19bae93389ba652845150cadc597c6b2f,Tier1FarmController
0xc7ed4617e27023c415e4a65dd71788473d94fa0cfd5bf0e764caf2d45402e9a8,0x2acaD2473589d6CbAAc42Ae3c115445565da5008,xPYPL
0xf543b309760af65e38adbec51f6f3acc556d7514715b81e88bd66ea94430def0,0x7274633Ff5c979BE25A524a0FE828f00DAF6F88a,xDIS
0x915f630277480d33e79eb4bc5926c27e7932726163d776723dd658385ed4f304,0x001385C23468Cb4614831aD9205F041Cf64A2958,xJPM
0x8e1deaaa84f27d6d38f4e7f2ea4ade97f6592b20955cd4370b6e1b540b41e0fd,0x4127ADaF3063a888635106fBfC67d0bB8B1ce000,xNVDA
0xd04faa7501902bbfa6f6feb859b62d19f6c315d4e3a59825b97c475a48a160a1,0xbdff00110c97d0fe7fefbb78ce254b12b9a7f41f,Oracle
0x23a3c00afcd2061c09cb0d16369b9250e00c15caf3f0a71643d5df34ee193886,0xA1a096AeeBacf385f5Cd479B4196A5d3176094D3,Token
0x63dc5a1d9d68e64c7311b3372d5892cb76deae8074c128a744efee0367253b5b,0xbd3da499045c43463a743ffdc892b670566378bb,GFToken
0x9c4c624be9ed7797ba232aca89030396e39a3bc5a31c97ae0b925105f333c2f5,0xd194b24913806fc885f1fecd3e776f8449e5e24a,GovernanceV2ProposalPayload
0x407e2b999b5a1d8ae71a5c7e0ac1fc2500886591d8fd3a2f9f652360c583bf17,0x74244ca89C8F01917fF798A2ef342eE7bCC729C5,MBTCVault
0x0980d5554bf0e2de7ff99e4ef576b0360d8679301e534186d38ab134209c0f03,0x7a72b2c51670a3d77d4205c2db90f6ddb09e4303,Core
0x0875f0d7f6ca8fd2ded66cc2c13f4995d441078e8207f3cc2ff3cea938ff46ee,0x1B4a86c26b2997629e934d8Ca3941bcB9F39c838,MultivestBTC
0x0b12198aafe1f32abc7efa78119976098bbdc0aa7531f4b118eda882cd963f84,0x054c6ee336745037c04a2f92308a38286d2cd589,Core
0x71467706265f9240787876033df055def68f1c410c282199d87e156521325c45,0x041A36b015486941Ce8d5f2C7ff2E88f97390640,Ledgis
0xcc0fd7d224148eab6dbada8f96b44ccfdf50266111d5b26c153c69a9994edd9f,0x33470dcc449488e277d944787b040ed599e097f8,afiVault
0x41ade0e904945f70316c636087368ce756c8039370c25794caefb7d2f187a2e9,0x23be14b17f481a04d7a42aa18ffc4d9d502e70e3,vBond
0x4c539d4bb00b997a230ffe681875e0a8f9ff5e7e44e5b4328fe4fe65cf4e7476,0xbda8ca63f1788746e85d137d243f988e5ed0da6c,MultiSigWallet
0xfc3db958b38c62ffe0aa04202d6d656255e461e9b303d9b773c9e7547618734b,0xbfCE0c7d3bA3a7F7a039521fe371A87BF84BAAD4,VIDBToken
0xc79dc0f06fdb20916b3485cde90e1e85d687372055d1b4a106bbb92dabcc459f,0x52540f6e845d12bad6b328b2fbb9d54b902ee8e6,ThirmProtocol
0x46842f0aee6cb4c28903ed51b0239fb9ec10ec057d5f005f8e5f8d0461d3c2ef,0x648e179ac3e881579b42933201392a403a53b836,Weedburn
0x04879094b262d8bddd979de15cc877aca778d71d83dd019efee019aa5d78c6fb,0xc226f9aa491406a40d12a70b198e70dafa91dab9,DTT_Exchange_v4
0x367c71f6064daa6e45af64bf0b8e62b7a31ac8f7ce4edfbb0cdb9685e7eb7ff8,0xc3bd4decf75e9937aefb7a4ce6ec8931db4cfaf0,MultiSend
0x7117272a40a39d1b41599ea547a41afc4e058893e70ced07250c80ac9483e18a,0xba8224cb77f71a68a6daa76d228e227260b974f4,afiController
0x5237ff9bb7b63dbc727cb2d6b119e81767fc56438e1eeb26ceb48a33f814c87f,0xc170384371494b2a8f6ba20f4d085c4dde763d96,BeepleCollectionTwo100Edition
0xd86a68e5ab974719a6432997b0d996804356c6f8f638d0e0a5cd6cbb2436a18f,0x70a87e1b97436d2f194b8b9ebf337bfc7521c70f,Pool
0x4635e4e80d1c8b317399b7b17d2c771e39708e6192a778d90571deb52cc1b93a,0xd92e44ac213b9ebda0178e1523cc0ce177b7fa96,BeepleCollectionTwoOpenEdition
